LandsatID,Hylak_id,date,Aerosol,Blue,Red,Green,Nir,Swir1,Swir2,TIR1,TIR2,sat,pCount_dswe1,pCount_dswe3,year,dWL
1_2_LE07_024030_19990727,9086,1999-07-27,-99,222,152,369,104,26,15,2975,-99,l7,66,0,1999,530
1_2_LE07_024030_19990929,9086,1999-09-29,-99,356.5,280,429,194,52,41.5,2875,-99,l7,66,0,1999,517
1_2_LE07_024030_19991015,9086,1999-10-15,-99,427,320,472,236,84,43.5,2859,-99,l7,66,0,1999,506
1_2_LE07_024030_19991031,9086,1999-10-31,-99,374,244,383,536,69,36,2842,-99,l7,47,0,1999,497
1_2_LE07_024030_19991116,9086,1999-11-16,-99,303,202,330,124,38,42,2810,-99,l7,66,0,1999,501
1_2_LE07_024030_19991218,9086,1999-12-18,-99,460,189,388,176,36,-8,2753,-99,l7,66,0,1999,488
1_2_LE07_024030_20000307,9086,2000-03-07,-99,454,308,426,247,151,127,2753,-99,l7,66,0,2000,491
1_2_LE07_024030_20000408,9086,2000-04-08,-99,758,456,597,307,94,72,2766,-99,l7,66,0,2000,481
1_2_LE07_024030_20000424,9086,2000-04-24,-99,276,169.5,276,169,85,44,2801,-99,l7,66,0,2000,495
1_2_LE07_024030_20000611,9086,2000-06-11,-99,640,543,793,1210,350,150,2950,-99,l7,33,0,2000,529
1_2_LE07_024030_20000915,9086,2000-09-15,-99,295,245,411,164,75,51,2908,-99,l7,66,0,2000,534
1_2_LE07_024030_20001102,9086,2000-11-02,-99,260,143,276,111,34,18.5,2853,-99,l7,66,0,2000,498
1_2_LE07_024030_20010427,9086,2001-04-27,-99,217,128,231,102,66,45,2825,-99,l7,66,0,2001,498
1_2_LE07_024030_20010513,9086,2001-05-13,-99,356,265,352,312,183,155,2853,-99,l7,66,0,2001,495
1_2_LE07_024030_20010902,9086,2001-09-02,-99,271,207,401,171,36,46,2929,-99,l7,66,0,2001,530
1_2_LE07_024030_20011105,9086,2001-11-05,-99,305,180,290,72,35,-1,2819,-99,l7,66,0,2001,492
1_2_LE07_024030_20011121,9086,2001-11-21,-99,289,174.5,300,88,40,-1,2813,-99,l7,66,0,2001,497
1_2_LE07_024030_20011207,9086,2001-12-07,-99,369,224,362,99,46,51,2784,-99,l7,66,0,2001,494
1_2_LE07_024030_20020124,9086,2002-01-24,-99,430,220,349,171,60.5,43,2722,-99,l7,66,0,2002,485
1_2_LE07_024030_20020703,9086,2002-07-03,-99,406,358,469,389,251,206,2939,-99,l7,66,0,2002,529
1_2_LE07_024030_20020719,9086,2002-07-19,-99,1102,775,1157,587,178,115,2934,-99,l7,66,0,2002,499
1_2_LE07_024030_20020820,9086,2002-08-20,-99,397,294,485,187,89,60,2934,-99,l7,66,0,2002,514
1_2_LE07_024030_20020905,9086,2002-09-05,-99,226,169,316,102,15,-4,2939,-99,l7,66,0,2002,526
1_2_LE07_024030_20020921,9086,2002-09-21,-99,265,182,307.5,120,46,24,2913,-99,l7,66,0,2002,507
1_2_LE07_024030_20021007,9086,2002-10-07,-99,239,153,297,91,23,28,2864,-99,l7,66,0,2002,509
1_2_LE07_024030_20021210,9086,2002-12-10,-99,453,257,420.5,203,44,50,2735,-99,l7,66,0,2002,491
1_2_LE07_024030_20021226,9086,2002-12-26,-99,329,206,315,105,47,-1,2722,-99,l7,66,0,2002,493
1_2_LE07_024030_20030111,9086,2003-01-11,-99,337,152,294,97,45,50,2709,-99,l7,66,0,2003,489
1_2_LE07_024030_20030401,9086,2003-04-01,-99,683,540,655,440.5,270,216,2728,-99,l7,66,0,2003,492
1_2_LE07_024030_20030503,9086,2003-05-03,-99,294,182,288,174,51,39,2825,-99,l7,66,0,2003,494
1_2_LE07_024030_20030807,9086,2003-08-07,-99,456,276,548,178,109,85,2918,-99,l7,66,0,2003,506
1_2_LE07_024030_20030823,9086,2003-08-23,-99,487,303,546,314,61,33,2924,-99,l7,66,0,2003,502
1_2_LE07_024030_20031010,9086,2003-10-10,-99,364,211,367,144,46,24,2870,-99,l7,66,0,2003,495
1_2_LE07_024030_20031127,9086,2003-11-27,-99,633,391,533,260,88,33,2772,-99,l7,66,0,2003,485
1_2_LE07_024030_20031229,9086,2003-12-29,-99,427,283,394,268,136,100,2716,-99,l7,66,0,2003,490
1_2_LE07_024030_20040521,9086,2004-05-21,-99,590,466,591,518,310,251,2842,-99,l7,66,0,2004,497
1_2_LE07_024030_20040708,9086,2004-07-08,-99,419,366,540,366.5,204,178,2902,-99,l7,66,0,2004,535
1_2_LE07_024030_20040809,9086,2004-08-09,-99,320,247,509,188,77,42,2924,-99,l7,66,0,2004,534
1_2_LE07_024030_20040910,9086,2004-09-10,-99,301,207,389,171,61,45,2908,-99,l7,66,0,2004,515
1_2_LE07_024030_20040926,9086,2004-09-26,-99,262,161,360,134,52,-1,2918,-99,l7,66,0,2004,514
1_2_LE07_024030_20041113,9086,2004-11-13,-99,320,167,329,77,37,-1,2807,-99,l7,66,0,2004,496
1_2_LE07_024030_20041231,9086,2004-12-31,-99,278,113,191,50,48,-1,2709,-99,l7,66,0,2004,481
1_2_LE07_024030_20050524,9086,2005-05-24,-99,207,105,210,112,32,28.5,2853,-99,l7,66,0,2005,495
1_2_LE07_024030_20050828,9086,2005-08-28,-99,258,158,363,114.5,39,20.5,2929,-99,l7,66,0,2005,516
1_2_LE07_024030_20051015,9086,2005-10-15,-99,284,206,315,162,61,48.5,2875,-99,l7,66,0,2005,505
1_2_LE07_024030_20051031,9086,2005-10-31,-99,813,583,766,498,254,191,2810,-99,l7,66,0,2005,491
1_2_LE07_024030_20051202,9086,2005-12-02,-99,583,290,477,194,43,-2,2753,-99,l7,66,0,2005,486
1_2_LE07_024030_20051218,9086,2005-12-18,-99,841,368,601,266,47,25,2703,-99,l7,66,0,2005,481
1_2_LE07_024030_20060612,9086,2006-06-12,-99,352,312,416,445,243,196,2864,-99,l7,66,0,2006,532
1_2_LE07_024030_20060815,9086,2006-08-15,-99,203,134,342,118,9,18,2945,-99,l7,66,0,2006,529
1_2_LE07_024030_20061002,9086,2006-10-02,-99,586,491,643,527,352,282,2830,-99,l7,66,0,2006,513
1_2_LE07_024030_20061103,9086,2006-11-03,-99,318,206,323,107,33,37,2796,-99,l7,66,0,2006,496
1_2_LE07_024030_20061119,9086,2006-11-19,-99,366,218,366,175,39,43,2778,-99,l7,66,0,2006,495
1_2_LE07_024030_20070428,9086,2007-04-28,-99,359,314,397,310,222,186,2796,-99,l7,66,0,2007,521
1_2_LE07_024030_20070615,9086,2007-06-15,-99,452,274,455,283,65,50,2939,-99,l7,66,0,2007,496
1_2_LE07_024030_20070701,9086,2007-07-01,-99,354,309,512,307,135,106,2918,-99,l7,66,0,2007,539
1_2_LE07_024030_20070802,9086,2007-08-02,-99,612.5,428,756,312,122,79,2934,-99,l7,66,0,2007,512
1_2_LE07_024030_20070903,9086,2007-09-03,-99,311,213,363,191,53,14,2945,-99,l7,66,0,2007,507
1_2_LE07_024030_20071021,9086,2007-10-21,-99,353,260,383,165,95,68,2870,-99,l7,66,0,2007,503
1_2_LE07_024030_20071122,9086,2007-11-22,-99,587,326,495,194,52.5,39,2784,-99,l7,66,0,2007,486
1_2_LE07_024030_20080414,9086,2008-04-14,-99,219,160,234,108,44,22,2747,-99,l7,66,0,2008,502
1_2_LE07_024030_20080601,9086,2008-06-01,-99,205,105,207,123,23,37,2881,-99,l7,66,0,2008,495
1_2_LE07_024030_20080617,9086,2008-06-17,-99,455,436,518,420,314,265,2892,-99,l7,66,0,2008,546
1_2_LE07_024030_20080719,9086,2008-07-19,-99,649,446,679,384,68,27,2924,-99,l7,66,0,2008,499
1_2_LE07_024030_20080820,9086,2008-08-20,-99,432,331,595,229,38,34,2929,-99,l7,66,0,2008,526
1_2_LE07_024030_20080921,9086,2008-09-21,-99,579,466,732,418,74,37,2902,-99,l7,66,0,2008,524
1_2_LE07_024030_20090316,9086,2009-03-16,-99,1772,1663,1849,981,135,84,2728,-99,l7,66,0,2009,536
1_2_LE07_024030_20090417,9086,2009-04-17,-99,279,152,263,143,43,22,2807,-99,l7,66,0,2009,492
1_2_LE07_024030_20090503,9086,2009-05-03,-99,301,200,298,194,92.5,65,2813,-99,l7,66,0,2009,495
1_2_LE07_024030_20090604,9086,2009-06-04,-99,354,255,336,264,155,126,2881,-99,l7,66,0,2009,492
1_2_LE07_024030_20090620,9086,2009-06-20,-99,337,293,368,285,207,176,2929,-99,l7,66,0,2009,517
